series id,Name,Rarity,Price,Image
0,Mew VMAX (Alternate Art Secret),Secret Rare,$84.29,https://tcgplayer-cdn.tcgplayer.com/product/253177_25w.jpg
0,Minun,Common,$0.05,https://tcgplayer-cdn.tcgplayer.com/product/253246_25w.jpg
0,Morpeko (109),Common,$0.02,https://tcgplayer-cdn.tcgplayer.com/product/253267_25w.jpg
0,Mudkip,Common,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253199_25w.jpg
0,Musharna,Uncommon,$0.05,https://tcgplayer-cdn.tcgplayer.com/product/253299_25w.jpg
0,Ninetales (31),Uncommon,$0.15,https://tcgplayer-cdn.tcgplayer.com/product/253128_25w.jpg
0,Oricorio,Rare,$0.15,https://tcgplayer-cdn.tcgplayer.com/product/253158_25w.jpg
0,Pancham,Common,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253363_25w.jpg
0,Panpour,Common,$0.02,https://tcgplayer-cdn.tcgplayer.com/product/253211_25w.jpg
0,Pansear,Common,$0.05,https://tcgplayer-cdn.tcgplayer.com/product/253137_25w.jpg
0,Phantump,Common,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253094_25w.jpg
0,Plusle,Common,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253245_25w.jpg
0,Power Tablet (Secret),Secret Rare,$8.24,https://tcgplayer-cdn.tcgplayer.com/product/253285_25w.jpg
0,Pyukumuku,Uncommon,$0.07,https://tcgplayer-cdn.tcgplayer.com/product/253229_25w.jpg
0,Qwilfish,Common,$0.02,https://tcgplayer-cdn.tcgplayer.com/product/253192_25w.jpg
0,Rillaboom VMAX,Ultra Rare,$2.58,https://tcgplayer-cdn.tcgplayer.com/product/253108_25w.jpg
0,Rotom,Common,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253250_25w.jpg
0,Sandshrew,Common,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253330_25w.jpg
0,Sandygast,Common,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253311_25w.jpg
0,Schoolboy (Full Art),Ultra Rare,$3.51,https://tcgplayer-cdn.tcgplayer.com/product/253162_25w.jpg
0,Schoolgirl,Uncommon,$0.04,https://tcgplayer-cdn.tcgplayer.com/product/253116_25w.jpg
0,Schoolgirl (Secret),Secret Rare,$7.60,https://tcgplayer-cdn.tcgplayer.com/product/253279_25w.jpg
0,Sharpedo,Uncommon,$0.07,https://tcgplayer-cdn.tcgplayer.com/product/253377_25w.jpg
0,Shauna (Full Art),Ultra Rare,$7.45,https://tcgplayer-cdn.tcgplayer.com/product/253165_25w.jpg
0,Shellder,Common,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253181_25w.jpg
0,Shinx,Common,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253247_25w.jpg
0,Sidney,Uncommon,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253119_25w.jpg
0,Sidney (Secret),Secret Rare,$7.64,https://tcgplayer-cdn.tcgplayer.com/product/253281_25w.jpg
0,Simipour,Uncommon,$0.03,https://tcgplayer-cdn.tcgplayer.com/product/253212_25w.jpg
0,Simisear,Uncommon,$0.06,https://tcgplayer-cdn.tcgplayer.com/product/253140_25w.jpg
